| 19  | Can you drive a car?                 | అవును, నేను కారు నడపగలను.                      | हां, मैं कार चला सकता हूँ।                      | ஆமாம், நான் காரை ஓட்ட முடியும்.              | ഹ, ഞാൻ കാർ ഓടിക്കാം.                         |,,,,
| 20  | What is your favorite music genre?   | నాకు క్లాసికల్ సంగీతం ఇష్టం.                   | मुझे शास्त्रीय संगीत पसंद है।                   | எனக்கு இசை வகை கானம் மிகவும் பிடிக்கும்.     | എനിക്ക് ഇഷ്ടമുള്ള സംഗീത വിഭാഗം കർണ്ണാടക സംഗീതമാണ്. |,,,,,,,,
| 21  | Do you play any instruments?         | అవును, నేను గిటార్ వాయిస్తాను.                 | हां, मैं गिटार बजाता हूँ।                       | ஆமாம், நான் கிட்டார் வாசிக்கிறேன்.           | ഹ, ഞാൻ ഗിറ്റാർ വായിക്കുന്നു.                  |,,,,
| 22  | What is your favorite fruit?         | నాకు మామిడి పండు చాలా ఇష్టం.                   | मुझे आम बहुत पसंद है।                          | எனக்கு மாம்பழம் மிகவும் பிடிக்கும்.          | എനിക്ക് മാമ്പഴം വളരെ ഇഷ്ടമാണ്.              |,,,,,,,,
| 23  | Are you a morning person?            | కాదు, నేను రాత్రి జాబితా.                      | नहीं, मैं रात का व्यक्ति हूँ।                   | இல்லை, நான் ஒரு இரவினர்.                    | അല്ല, ഞാൻ രാത്രിക്കാരനാണ്.                   |,,,,
| 24  | What is your dream job?              | నా కలల ఉద్యోగం పైలట్ కావడం.                    | मेरा सपना पायलट बनने का है।                     | என் கனவுநிலை ஜாப் ஒரு பைலட் ஆகும்.           | എന്റെ സ്വപ്ന ജോലി പൈലറ്റാണ്.                   |,,,,,,,,
| 25  | What is your favorite holiday?       | నాకు దీపావళి చాలా ఇష్టం.                       | मुझे दिवाली बहुत पसंद है।                      | எனக்கு தீபாவளி மிகவும் பிடிக்கும்.           | എനിക്ക് ദീപാവലി വളരെ ഇഷ്ടമാണ്.               |,,,,,,,,
| 26  | Do you like to travel?               | అవును, నాకు ప్రయాణం ఇష్టం.                     | हां, मुझे यात्रा करना पसंद है।                  | ஆமாம், எனக்கு பயணம் பிடிக்கும்.               | ഹ, എനിക്ക് യാത്ര ചെയ്യാൻ ഇഷ്ടമാണ്.          |,,,,
| 27  | What is your favorite city?          | నాకు ప్రియమైన నగరం ముంబాయి.                    | मुझे मुंबई बहुत पसंद है।                        | எனக்கு பிடித்த நகரம் மும்பை.                  | എനിക്ക് ഇഷ്ടമുള്ള നഗരം മുംബൈയാണ്.            |,,,,,,,,
| 28  | Do you cook?                         | అవును, నేను వంట చేస్తాను.                      | हां, मैं खाना बनाता हूँ।                       | ஆமாம், நான் சமைப்பேன்.                       | ഹ, ഞാൻ പാചകം ചെയ്യുന്നു.                    |,,,,
| 29  | What is your favorite dessert?       | నాకు గులాబ్ జామూన్ ఇష్టం.                     | मुझे गुलाब जामुन बहुत पसंद है।                | எனக்கு ஜிலேபி மிகவும் பிடிக்கும்.            | എനിക്ക് ഗുലാബ് ജാമുൻ വളരെ ഇഷ്ടമാണ്.        |,,,,,,,,
| 30  | What languages do you speak?         | నేను తెలుగు, ఇంగ్లీష్, హిందీ మాట్లాడగలను.     | मैं हिंदी, अंग्रेजी, तेलुगु बोलता हूँ।           | நான் தமிழ், ஆங்கிலம், இந்தி பேசுகிறேன்.       | ഞാൻ മലയാളം, ഇംഗ്ലീഷ്, ഹിന്ദി സംസാരിക്കുന്നു. |
| 31  | What is your favorite vegetable?     | నాకు టమోటా చాలా ఇష్టం.                        | मुझे टमाटर बहुत पसंद है।                       | எனக்கு தக்காளி மிகவும் பிடிக்கும்.           | എനിക്ക് തക്കാളി വളരെ ഇഷ്ടമാണ്.              |,,,,,,,,
| 32  | Do you like reading books?           | అవును, నాకు పుస్తకాలు చదవడం ఇష్టం.            | हां, मुझे किताबें पढ़ना पसंद है।               | ஆமாம், எனக்கு புத்தகங்கள் படிப்பது பிடிக்கும். | ഹ, എനിക്ക് പുസ്തകങ്ങൾ വായിക്കാൻ ഇഷ്ടമാണ്.  |,,,,
| 33  | What is your favorite flower?        | నాకు రోజా పువ్వు ఇష్టం.                        | मुझे गुलाब का फूल बहुत पसंद है।                | எனக்கு ரோஜா பூ மிகவும் பிடிக்கும்.          | എനിക്ക് റോസ് പൂവ് വളരെ ഇഷ്ടമാണ്.           |,,,,,,,,
| 34  | Do you have any pets?                | లేదు, నాకు పెంపుడు జంతువులు లేవు.            | नहीं, मेरे पास कोई पालतू जानवर नहीं है।        | இல்லை, எனக்கு செல்லப்பிராணிகள் இல்லை.       | ഇല്ല, എനിക്ക് വളർത്തു മൃഗങ്ങൾ ഇല്ല.           |,,,,
| 35  | What is your favorite drink?         | నాకు కాఫీ చాలా ఇష్టం.                         | मुझे कॉफी बहुत पसंद है।                        | எனக்கு காபி மிகவும் பிடிக்கும்.              | എനിക്ക് കാപ്പി വളരെ ഇഷ്ടമാണ്.                |,,,,,,,,
| 36  | Are you married?                     | లేదు, నేను ఇంకా పెళ్లి కాలేదు.                 | नहीं, मैं अभी तक शादीशुदा नहीं हूँ।           | இல்லை, நான் இன்னும் திருமணமாகவில்லை.       | ഇല്ല, ഞാൻ ഇതുവരെ വിവാഹിതനായിട്ടില്ല.       |,,,,
| 37  | Do you like spicy food?              | అవును, నాకు మసాలా భోజనం ఇష్టం.              | हां, मुझे मसालेदार खाना पसंद है।              | ஆமாம், எனக்கு காரம் நிறைந்த உணவு பிடிக்கும். | ഹ, എനിക്ക് മസാല ഭക്ഷണം ഇഷ്ടമാണ്.            |,,,,
| 38  | What is your favorite car?           | నాకు బీఎండబ్ల్యూ ఇష్టం.                        | मुझे बीएमडब्ल्यू पसंद है।                     | எனக்கு பிஎம்டபிள்யூ காரை பிடிக்கும்.         | എനിക്ക് ബിഎംഡബ്ല്യു ഇഷ്ടമാണ്.               |,,,,,,,,
| 39  | Do you exercise regularly?           | అవును, నేను ప్రతిరోజూ వ్యాయామం చేస్తాను.     | हां, मैं नियमित रूप से व्यायाम करता हूँ।       | ஆமாம், நான் தினசரி பயிற்சி செய்கிறேன்.      | ഹ, ഞാൻ നിയന്ത്രിതമായി വ്യായാമം ചെയ്യുന്നു.  |,,,,
| 40  | What is your favorite ice cream?     | నాకు వనిల్లా ఐస్‌క్రీమ్ ఇష్టం.                 | मुझे वनीला आइसक्रीम बहुत पसंद है।             | எனக்கு வனிலா ஐஸ்க்ரீம் பிடிக்கும்.           | എനിക്ക് വാനില ഐസ്ക്രീം ഇഷ്ടമാണ്.            |,,,,,,,,
| 41  | Do you watch TV shows?               | అవును, నేను టీవీ షోలు,,,,,,,
,,,,,,,,
 చూస్తాను.                | हां, मैं टीवी शो देखता हूँ।                     | ஆமாம், நான் டிவி நிகழ்ச்சிகளைப் பார்க்கிறேன். | ഹ, ഞാൻ ടിവി ഷോകൾ കാണുന്നു.                |,,,,,
| 42  | What is your favorite subject?       | నాకు గణితం చాలా ఇష్టం.                        | मुझे गणित बहुत पसंद है।                        | எனக்கு கணிதம் மிகவும் பிடிக்கும்.            | എനിക്ക് ഗണിതശാസ്ത്രം ഇഷ്ടമാണ്.              |,,,,,,,,
| 43  | Do you like cooking?                 | అవును, నాకు వంట చేయడం ఇష్టం.                 | हां, मुझे खाना बनाना पसंद है।                  | ஆமாம், எனக்கு சமைக்க பிடிக்கும்.            | ഹ, എനിക്ക് പാചകം ചെയ്യാൻ ഇഷ്ടമാണ്.          |,,,,
| 44  | What is your favorite time of day?   | నాకు సాయంత్రం చాలా ఇష్టం.                     | मुझे शाम का समय बहुत पसंद है।                 | எனக்கு மாலை நேரம் மிகவும் பிடிக்கும்.        | എനിക്ക് വൈകുന്നേരം സമയം ഇഷ്ടമാണ്.         |,,,,,,,,
| 45  | Do you like working out?             | అవును, నాకు వ్యాయామం ఇష్టం.                  | हां, मुझे कसरत करना पसंद है।                   | ஆமாம், எனக்கு உடற்பயிற்சி மிகவும் பிடிக்கும். | ഹ, എനിക്ക് വ്യായാമം ചെയ്യാൻ ഇഷ്ടമാണ്.        |,,,,
| 46  | What is your favorite place to visit?| నాకు వెనిస్ కి వెళ్ళడం చాలా ఇష్టం.             | मुझे वेनिस जाना बहुत पसंद है।                   | எனக்கு வெனிஸ் செல்ல மிகவும் பிடிக்கும்.    | എനിക്ക് വെനിസ് സന്ദർശിക്കാൻ ഇഷ്ടമാണ്.         |,,,,,,,,
| 47  | Do you enjoy listening to music?     | అవును, నాకు సంగీతం వినడం ఇష్టం.               | हां, मुझे संगीत सुनना पसंद है।                | ஆமாம், எனக்கு இசை கேட்க விருப்பம் உண்டு.  | ഹ, എനിക്ക് സംഗീതം കേൾക്കാൻ ഇഷ്ടമാണ്.       |,,,,
| 48  | What is your favorite festival?      | నాకు సంక్రాంతి చాలా ఇష్టం.                    | मुझे संक्रांति बहुत पसंद है।                    | எனக்கு சங்கராந்தி மிகவும் பிடிக்கும்.       | എനിക്ക് മകരസങ്ക്രാന്തി ഇഷ്ടമാണ്.             |,,,,,,,,
| 49  | Do you like your job?                | అవును, నాకు నా ఉద్యోగం ఇష్టం.                  | हां, मुझे मेरा काम पसंद है।                    | ஆமாம், எனக்கு என் வேலை பிடிக்கும்.            | ഹ, എനിക്ക് എന്റെ ജോലി ഇഷ്ടമാണ്.              |,,,,
| 50  | What is your favorite snack?         | నాకు సమోసా చాలా ఇష్టం.                       | मुझे समोसा बहुत पसंद है।                       | எனக்கு சமோசா மிகவும் பிடிக்கும்.            | എനിക്ക് സമോസ ഇഷ്ടമാണ്.                      |,,,,,,,,
| 51  | Do you have a best friend?           | అవును, నాకు ఒక బెస్ట్ ఫ్రెండ్ ఉంది.            | हां, मेरा एक सबसे अच्छा दोस्त है।             | ஆமாம், எனக்கு ஒரு நெருங்கிய நண்பன் உள்ளது.  | ഹ, എനിക്ക് ഒരു ഏറ്റവും നല്ല സുഹൃത്ത് ഉണ്ട്.  |,,,,
| 52  | What is your favorite outfit?        | నాకు జీన్స్, టీషర్ట్ ఇష్టం.                   | मुझे जींस और टी-शर्ट बहुत पसंद है।            | எனக்கு ஜீன்ஸ் மற்றும் டி-ஷர்ட் மிகவும் பிடிக்கும். | എനിക്ക് ജീൻസും ടീഷർട്ടും ഇഷ്ടമാണ്.       |,,,,,,,
| 53  | Do you like painting?                | అవును, నాకు పెయింటింగ్ ఇష్టం.                  | हां, मुझे पेंटिंग करना पसंद है।                 | ஆமாம், எனக்கு ஓவியம் வரைய விருப்பம் உண்டு. | ഹ, എനിക്ക് പെയിന്റിംഗ് ഇഷ്ടമാണ്.            |,,,,
| 54  | What is your favorite day of the week?| నాకు శనివారం చాలా ఇష్టం.                    | मुझे शनिवार बहुत पसंद है।                      | எனக்கு சனிக்கிழமை மிகவும் பிடிக்கும்.         | എനിക്ക് ശനിയാഴ്ച ഇഷ്ടമാണ്.                  |,,,,,,,,
| 55  | Do you like gardening?               | అవును, నాకు తోటపనికి ఇష్టం.                   | हां, मुझे बागवानी करना पसंद है।                | ஆமாம், எனக்கு தோட்டக்குழாய் பிடிக்கும்.    | ഹ, എനിക്ക് തോട്ടംവെക്കാൻ ഇഷ്ടമാണ്.        |,,,,
| 56  | What is your favorite weather?       | నాకు వర్షాకాలం చాలా ఇష్టం.                    | मुझे मानसून बहुत पसंद है।                      | எனக்கு மழைக்காலம் மிகவும் பிடிக்கும்.       | എനിക്ക് മഴക്കാലം ഇഷ്ടമാണ്.                 |,,,,,,,,
| 57  | Do you like going to the beach?      | అవును, నాకు బీచ్ కి వెళ్ళడం ఇష్టం.             | हां, मुझे समुद्र तट पर जाना पसंद है।          | ஆமாம், எனக்கு கடற்கரைக்கு செல்ல விருப்பம் உண்டு. | ഹ, എനിക്ക് ബീച്ചിൽ പോകാൻ ഇഷ്ടമാണ്.        |,,,,
| 58  | What is your favorite animal?        | నాకు సింహం చాలా ఇష్టం.                       | मुझे शेर बहुत पसंद है।                         | எனக்கு சிங்கம் மிகவும் பிடிக்கும்.           | എനിക്ക് സിംഹം ഇഷ്ടമാണ്.                    |,,,,,,,,
| 59  | Do you prefer tea or coffee?         | నాకు కాఫీ ఇష్టం.                             | मुझे कॉफी पसंद है।                            | எனக்கு காபி மிகவும் பிடிக்கும்.               | എനിക്ക് കാപ്പി ഇഷ്ടമാണ്.                     |,,,,,,,,
| 60  | What is your favorite app?           | నాకు వాట్సాప్ చాలా ఇష్టం.                    | मुझे व्हाट्सएप बहुत पसंद है।                  | எனக்கு வாட்ஸ்அப் மிகவும் பிடிக்கும்.        | എനിക്ക് വാട്സ്ആപ്പ് ഇഷ്ടമാണ്.               |,,,,,,,,
| 61  | Do you like social media?            | అవును, నాకు సోషల్ మీడియా ఇష్టం.               | हां, मुझे सोशल मीडिया पसंद है।                | ஆமாம், எனக்கு சமூக ஊடகங்கள் பிடிக்கும்.    | ഹ, എനിക്ക് സോഷ്യൽ മീഡിയ ഇഷ്ടമാണ്.        |,,,,
| 62  | What is your favorite website?       | నాకు గూగుల్ చాలా ఇష్టం.                       | मुझे गूगल पसंद है।                            | எனக்கு கூகிள் மிகவும் பிடிக்கும்.           | എനിക്ക് ഗൂഗിൾ ഇഷ്ടമാണ്.                    |,,,,,,,,
| 63  | Do you like technology?              | అవును, నాకు సాంకేతికత అంటే ఇష్టం.              | हां, मुझे प्रौद्योगिकी पसंद है।                | ஆமாம், எனக்கு தொழில்நுட்பம் பிடிக்கும்.    | ഹ, എനിക്ക് സാങ്കേതിക വിദ്യ ഇഷ്ടമാണ്.       |,,,,
| 64  | What is your favorite exercise?      | నాకు యోగా చాలా ఇష్టం.                        | मुझे योग बहुत पसंद है।                         | எனக்கு யோகா மிகவும் பிடிக்கும்.              | എനിക്ക് യോഗ ഇഷ്ടമാണ്.                     |,,,,,,,,
| 65  | Do you meditate?                     | అవును, నేను ధ్యానం చేస్తాను.                  | हां, मैं ध्यान करता हूँ।                        | ஆமாம், நான் தியானம் செய்கிறேன்.          | ഹ, ഞാൻ ധ്യാനിക്കുന്നു.                      |,,,,
| 66  | What is your favorite gadget?        | నాకు స్మార్ట్‌ఫోన్ ఇష్టం.                      | मुझे स्मार्टफोन बहुत पसंद है।                  | எனக்கு ஸ்மார்ட்போன் மிகவும் பிடிக்கும்.    | എനിക്ക് സ്മാർട്ട്ഫോൺ ഇഷ്ടമാണ്.              |,,,,,,,,
| 67  | Do you like photography?             | అవును, నాకు ఫోటోగ్రఫీ ఇష్టం.                 | हां, मुझे फोटोग्राफी करना पसंद है।            | ஆமாம், எனக்கு புகைப்படக்கலை மிகவும் பிடிக்கும். | ഹ, എനിക്ക് ഫോട്ടോഗ്രാഫി ഇഷ്ടമാണ്.        |,,,,
| 68  | What is your favorite pet animal?    | నాకు కుక్కలు ఇష్టం.                           | मुझे कुत्ते बहुत पसंद हैं।                    | எனக்கு நாய்கள் மிகவும் பிடிக்கும்.            | എനിക്ക് നായ്ക്കൾ ഇഷ്ടമാണ്.                   |,,,,,,,,
| 69  | Do you prefer movies or books?       | నాకు సినిమాలు ఇష్టం.                         | मुझे फिल्में पसंद हैं।                         | எனக்கு திரைப்படங்கள் மிகவும் பிடிக்கும்.    | എനിക്ക് സിനിമകൾ ഇഷ്ടമാണ്.                |,,,,,,,,
| 70  | What is your favorite outdoor activity?| నాకు నడక చాలా ఇష్టం.                      | मुझे टहलना बहुत पसंद है।                      | எனக்கு நடைப்பயிற்சி மிகவும் பிடிக்கும்.     | എനിക്ക് നടക്കാൻ ഇഷ്ടമാണ്.                |,,,,,,,,
| 71  | Do you like long drives?             | అవును, నాకు లాంగ్ డ్రైవ్స్ ఇష్టం.              | हां, मुझे लॉन्ग ड्राइव पसंद है।               | ஆமாம், எனக்கு நீண்ட பயணங்கள் பிடிக்கும்.   | ഹ, എനിക്ക് ലോഗ് ഡ്രൈവ് ഇഷ്ടമാണ്.       |,,,,
| 72  | What is your favorite indoor activity?| నాకు చదవడం చాలా ఇష్టం.                      | मुझे पढ़ना बहुत पसंद है।                       | எனக்கு வாசிப்பு மிகவும் பிடிக்கும்.         | എനിക്ക് വായന ഇഷ്ടമാണ്.                   |,,,,,,,,
| 73  | Do you prefer the city or the countryside? | నాకు నగరం ఇష్టం.                          | मुझे शहर पसंद है।                              | எனக்கு நகரம் மிகவும்,,,,,,,,
,,,,,,,,
 பிடிக்கும்.            | എനിക്ക് നഗരം ഇഷ്ടമാണ്.                   |,,,,,,,,
| 74  | What is your favorite drink in the morning? | నాకు కాఫీ ఇష్టం.                            | मुझे सुबह कॉफी पसंद है।                       | எனக்கு காலை நேரத்தில் காபி மிகவும் பிடிக்கும். | എനിക്ക് രാവിലെ കാപ്പി ഇഷ്ടമാണ്.            |,,,,,,,,
| 75  | Do you like spicy snacks?            | అవును, నాకు కారంగా ఉండే స్నాక్స్ ఇష్టం.         | हां, मुझे मसालेदार स्नैक्स पसंद हैं।           | ஆமாம், எனக்கு காரமான சிற்றுண்டி மிகவும் பிடிக்கும். | ഹ, എനിക്ക് പുളിപ്പുള്ള സ്നാക്കുകൾ ഇഷ്ടമാണ്. |,,,,
| 76  | What is your favorite social media platform? | నాకు ఫేస్‌బుక్ ఇష్టం.                    | मुझे फेसबुक पसंद है।                           | எனக்கு முகநூல் மிகவும் பிடிக்கும்.         | എനിക്ക് ഫേസ്ബുക്ക് ഇഷ്ടമാണ്.               |,,,,,,,,
| 77  | Do you like adventures?              | అవును, నాకు సాహసాలు ఇష్టం.                   | हां, मुझे रोमांच पसंद है।                      | ஆமாம், எனக்கு சாகசங்கள் மிகவும் பிடிக்கும். | ഹ, എനിക്ക് സാഹസിക ഇഷ്ടമാണ്.             |,,,,
| 78  | What is your favorite sweet?         | నాకు లడ్డూ చాలా ఇష్టం.                        | मुझे लड्डू बहुत पसंद है।                      | எனக்கு லட்டு மிகவும் பிடிக்கும்.            | എനിക്ക് ലഡ്ഡു ഇഷ്ടമാണ്.                    |,,,,,,,,
| 79  | Do you like picnics?                 | అవును, నాకు పిక్నిక్స్ ఇష్టం.                  | हां, मुझे पिकनिक पसंद हैं।                    | ஆமாம், எனக்கு பிக்னிக்குகள் மிகவும் பிடிக்கும். | ഹ, എനിക്ക് പിക്ക്നിക്കുകൾ ഇഷ്ടമാണ്.         |,,,,
| 80  | What is your favorite outdoor sport? | నాకు క్రికెట్ చాలా ఇష్టం.                      | मुझे क्रिकेट बहुत पसंद है।                   | எனக்கு வெளிப்புற விளையாட்டில் கிரிக்கெட் மிகவும் பிடிக்கும். | എനിക്ക് പുറത്തുള്ള കായിക വിനോദങ്ങളിൽ ക്രിക്കറ്റ് ഇഷ്ടമാണ്. |,,,,,,,,
| 81  | Do you like taking selfies?          | అవును, నాకు సెల్ఫీలు తీయడం ఇష్టం.            | हां, मुझे सेल्फी लेना पसंद है।                | ஆமாம், எனக்கு செல்பி எடுப்பது பிடிக்கும்.  | ഹ, എനിക്ക് സെൽഫികൾ എടുക്കാൻ ഇഷ്ടമാണ്.  |,,,,
| 82  | What is your favorite season of the year? | నాకు వేసవికాలం ఇష్టం.                    | मुझे गर्मी का मौसम पसंद है।                 | எனக்கு கோடை பருவம் மிகவும் பிடிக்கும்.    | എനിക്ക് വേനൽക്കാലം ഇഷ്ടമാണ്.              |,,,,,,,,
| 83  | Do you like writing?                 | అవును, నాకు వ్రాయడం ఇష్టం.                   | हां, मुझे लिखना पसंद है।                     | ஆமாம், எனக்கு எழுதுவது பிடிக்கும்.         | ഹ, എനിക്ക് എഴുതാൻ ഇഷ്ടമാണ്.               |,,,,
| 84  | What is your favorite movie genre?   | నాకు యాక్షన్ సినిమాలు ఇష్టం.                  | मुझे एक्शन फिल्में पसंद हैं।                 | எனக்கு ஆக்ஷன் திரைப்படம் மிகவும் பிடிக்கும். | എനിക്ക് ആക്ഷൻ സിനിമകൾ ഇഷ്ടമാണ്.           |,,,,,,,,
| 85  | Do you like dancing?                 | అవును, నాకు డ్యాన్స్ చేయడం ఇష్టం.             | हां, मुझे नृत्य करना पसंद है।                 | ஆமாம், எனக்கு நடனம் பிடிக்கும்.            | ഹ, എനിക്ക് നൃത്തം ഇഷ്ടമാണ്.                |,,,,
| 86  | What is your favorite travel destination? | నాకు స్విట్జర్లాండ్ చాలా ఇష్టం.          | मुझे स्विट्ज़रलैंड बहुत पसंद है।             | எனக்கு ஸ்விட்சர்லாந்து மிகவும் பிடிக்கும்.  | എനിക്ക് സ്വിറ്റ്സർലൻഡ് ഇഷ്ടമാണ്.           |,,,,,,,,
| 87  | Do you like photography?             | అవును, నాకు ఫోటోగ్రఫీ ఇష్టం.                 | हां, मुझे फोटोग्राफी पसंद है।               | ஆமாம், எனக்கு புகைப்படக்கலை மிகவும் பிடிக்கும். | ഹ, എനിക്ക് ഫോട്ടോഗ്രാഫി ഇഷ്ടമാണ്.       |,,,,
| 88  | What is your favorite flower?        | నాకు రోస్ పువ్వు ఇష్టం.                      | मुझे गुलाब का फूल पसंद है।                  | எனக்கு ரோஜா பூ மிகவும் பிடிக்கும்.         | എനിക്ക് റോസ് പൂവ് ഇഷ്ടമാണ്.               |,,,,,,,,
| 89  | Do you prefer coffee or tea?         | నాకు కాఫీ ఇష్టం.                            | मुझे कॉफी पसंद है।                          | எனக்கு காபி மிகவும் பிடிக்கும்.             | എനിക്ക് കാപ്പി ഇഷ്ടമാണ്.                   |,,,,,,,,
| 90  | What is your favorite fruit?         | నాకు మామిడి పండు ఇష్టం.                      | मुझे आम पसंद है।                            | எனக்கு மாம்பழம் மிகவும் பிடிக்கும்.         | എനിക്ക് മാമ്പഴം ഇഷ്ടമാണ്.                |,,,,,,,,
| 91  | Do you like your job?                | అవును, నాకు నా ఉద్యోగం ఇష్టం.                 | हां, मुझे मेरा काम पसंद है।                 | ஆமாம், எனக்கு வேலை மிகவும் பிடிக்கும்.     | ഹ, എനിക്ക് എന്റെ ജോലി ഇഷ്ടമാണ്.            |,,,,
| 92  | What is your favorite color?         | నాకు బ్లూ రంగు ఇష్టం.                        | मुझे नीला रंग पसंद है।                      | எனக்கு நீலம் மிகவும் பிடிக்கும்.            | എനിക്ക് നീല നിറം ഇഷ്ടമാണ്.                |,,,,,,,,
| 93  | Do you like reading books?           | అవును, నాకు పుస్తకాలు చదవడం ఇష్టం.           | हां, मुझे किताबें पढ़ना पसंद है।            | ஆமாம், எனக்கு புத்தகங்கள் படிக்க விருப்பம் உள்ளது. | ഹ, എനിക്ക് പുസ്തകങ്ങൾ വായിക്കാൻ ഇഷ്ടമാണ്.  |,,,,
